,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6162396,2182182,HH429064,09/06/2002 05:00,045XX N ASHLAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1922,19,47,3,18,1164839,1930205,2002,15/04/2016 08:55,41.96409271,-87.66932057,"(41.964093, -87.669321)"
5515802,5247974,HM660530,14/10/2006 22:37,085XX S RACINE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,613,6,21,71,18,1169813,1848186,2006,15/04/2016 08:55,41.73891835,-87.65342045,"(41.738918, -87.65342)"
4562758,3226588,HK180606,13/02/2004 10:00,112XX S WALLACE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,2233,22,34,49,18,1174313,1830380,2004,15/04/2016 08:55,41.68995741,-87.63746062,"(41.689957, -87.637461)"
5114630,4019357,HL307287,20/04/2005 14:55,106XX S WENTWORTH AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,512,5,34,49,18,1176839,1834173,2005,15/04/2016 08:55,41.70030959,-87.62809922,"(41.70031, -87.628099)"
2231879,7282795,HR699012,20/12/2009 21:02,079XX S DAMEN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,611,6,18,71,18,1164407,1852089,2009,04/02/2016 06:33,41.74974426,-87.67311733,"(41.749744, -87.673117)"
4629093,3157368,HJ833296,22/12/2003 22:00,049XX W SUPERIOR ST,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,TRUE,FALSE,1531,15,37,25,18,1143388,1904517,2003,15/04/2016 08:55,41.89403137,-87.74883397,"(41.894031, -87.748834)"
2345136,7395950,HS170723,18/02/2010 13:15,059XX S SPAULDING AVE,2012,NARCOTICS,MANU/DELIVER:COCAINE,APARTMENT,TRUE,FALSE,822,8,16,66,18,1155414,1864857,2010,04/02/2016 06:33,41.78496626,-87.70573036,"(41.784966, -87.70573)"
5358388,5125259,HM557299,23/08/2006 10:50,004XX W LOCUST ST,2017,NARCOTICS,MANU/DELIVER:CRACK,STREET,TRUE,FALSE,1823,18,27,8,18,1172774,1906610,2006,15/04/2016 08:55,41.89917464,-87.64084684,"(41.899175, -87.640847)"
5534654,5287165,HM706533,07/11/2006 12:00,052XX W FERDINAND ST,2024,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE PORCH/HALLWAY,TRUE,FALSE,1523,15,28,25,18,1141343,1902645,2006,15/04/2016 08:55,41.88893236,-87.75639093,"(41.888932, -87.756391)"
2802218,7985017,HT216888,23/03/2011 20:23,007XX E 67TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,321,3,20,42,18,1182456,1860755,2011,04/02/2016 06:33,41.77312556,-87.60671035,"(41.773126, -87.60671)"
4929803,3688082,HK769561,23/11/2004 20:25,060XX S PAULINA ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,714,7,15,67,18,1166045,1864618,2004,15/04/2016 08:55,41.78409087,-87.66675919,"(41.784091, -87.666759)"
1735461,6594581,HP663272,03/11/2008 10:50,053XX S EMERALD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,934,9,3,61,18,1172208,1869517,2008,04/02/2016 06:33,41.79740093,-87.64401931,"(41.797401, -87.644019)"
4742449,3427388,HK472328,03/07/2004 22:10,034XX N LARAMIE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1634,16,38,15,18,1141096,1922206,2004,15/04/2016 08:55,41.94261444,-87.75681512,"(41.942614, -87.756815)"
990175,10140899,HY330487,06/07/2015 19:52,068XX S ASHLAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,725,7,17,67,18,1166855,1859263,2015,17/08/2015 15:03,41.76937879,-87.66394224,"(41.769379, -87.663942)"
5234130,4647701,HM172821,09/02/2006 21:55,041XX N KEYSTONE AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,STREET,TRUE,FALSE,1722,17,39,16,18,1148552,1927104,2006,15/04/2016 08:55,41.95591407,-87.7292837,"(41.955914, -87.729284)"
2608308,7789134,HS597991,04/11/2010 01:45,005XX N AVERS AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,1122,11,27,23,18,1150625,1903379,2010,04/02/2016 06:33,41.89077022,-87.72228432,"(41.89077, -87.722284)"
5246291,4694751,HM241586,19/03/2006 17:24,076XX S ADA ST,2027,NARCOTICS,POSS: CRACK,RESIDENCE,TRUE,FALSE,612,6,17,71,18,1168769,1853933,2006,15/04/2016 08:55,41.75471148,-87.65707999,"(41.754711, -87.65708)"
695563,2542415,HJ103842,02/01/2003 22:48,054XX W BELMONT AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1633,16,38,15,18,1139662,1920745,2003,15/04/2016 08:55,41.93863166,-87.7621216,"(41.938632, -87.762122)"
1106718,10403180,HZ139693,04/02/2016 01:15,049XX W DIVERSEY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,2521,25,31,19,18,1142884,1918162,2016,11/02/2016 15:47,41.93148413,-87.75034439,"(41.931484, -87.750344)"
4580751,3254502,HK157845,01/02/2004 00:18,009XX W SCHOOL ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1924,19,44,6,18,1169228,1922098,2004,15/04/2016 08:55,41.94175233,-87.65342009,"(41.941752, -87.65342)"
3938206,8405050,HT610044,29/11/2011 12:50,069XX S LAFLIN ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,APARTMENT,TRUE,FALSE,734,7,17,67,18,1167534,1858705,2011,04/02/2016 06:33,41.76783304,-87.66146931,"(41.767833, -87.661469)"
1465234,1891488,G735069,08/12/2001 10:20,005XX E 61 ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,313,3,,,18,1180811,1864641,2001,17/08/2015 15:03,41.7838271,-87.61262106,"(41.783827, -87.612621)"
4127039,9073485,HW218351,03/04/2013 21:14,007XX N RIDGEWAY AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,TRUE,FALSE,1112,11,27,23,18,1151253,1904714,2013,04/02/2016 06:33,41.8944213,-87.71994293,"(41.894421, -87.719943)"
4742089,3426962,HK467367,01/07/2004 15:30,051XX S LAFLIN ST,2027,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,932,9,16,61,18,1167202,1870817,2004,15/04/2016 08:55,41.80107697,-87.66233979,"(41.801077, -87.66234)"
4448802,9716114,HX337959,09/07/2014 12:48,086XX S SANGAMON ST,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,TRUE,FALSE,613,6,21,71,18,1171495,1847363,2014,04/02/2016 06:33,41.7366233,-87.64728198,"(41.736623, -87.647282)"
5175942,4284568,HL518190,30/07/2005 20:16,063XX N MAPLEWOOD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,2413,24,50,2,18,1158173,1941976,2005,15/04/2016 08:55,41.99653202,-87.69350619,"(41.996532, -87.693506)"
701601,2553246,HH869428,31/12/2002 12:37,044XX W LEXINGTON ST,2027,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,1131,11,24,26,18,1146954,1896346,2002,15/04/2016 08:55,41.8715418,-87.73594595,"(41.871542, -87.735946)"
2877513,1397722,G097165,16/02/2001 22:00,019XX N PULASKI RD,2027,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,2535,25,,,18,1149438,1912833,2001,17/08/2015 15:03,41.91673606,-87.72639795,"(41.916736, -87.726398)"
803138,2796231,HJ435801,17/06/2003 20:10,038XX S PRINCETON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,925,9,3,34,18,1174922,1879305,2003,15/04/2016 08:55,41.82419997,-87.63377456,"(41.8242, -87.633775)"
